"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,33,969,-6.04,40.79,-6.3,4.12,-46.84,1.4,-8.8
NA,NA,NA,32,725,-2.55,45.41,-1.68,4.09,-46.87,2.1,2.8
NA,NA,NA,23,559,-0.37,44.12,-2.97,3.81,-47.15,4.4,-5.6
NA,NA,NA,11,589,-1.32,50,2.91,3.19,-47.78,2.2,-8
NA,NA,NA,40,205,1.25,49.75,2.66,4.17,-46.79,3.4,-0.1
NA,NA,NA,9,113,-1.83,47.88,0.79,8.84,-42.12,1.3,-2.5
"Adam Koch","BAK",25,49,1402,-1.08,51.94,4.85,3.22,-47.75,2.2,9.3
"Adrian Thomas","BAK",26,30,407,-1.82,48.08,0.99,47.76,-3.21,1.9,1.6
"Alex Ruoff","IWA",26,37,946,-1.02,51.43,4.34,7.36,-43.61,2.5,3.8
"Alexis Wangmene","AUS",24,17,72,-4.53,19.05,-28.04,3.4,-47.57,0.7,-5.3
"Andre Barrett","SXF",31,33,1013,-1.48,43.61,-3.48,3.96,-47,1.7,-3.2
"Andrew Goudelock","RGV",24,51,1881,0.67,53.24,6.15,5.89,-45.07,1.7,4.1
"Andy Rautins","TUL",26,48,1424,0.15,59.22,12.13,9.94,-41.02,1.9,-1.8
"Anthony Harris","FWN",28,35,901,-4.18,43.79,-3.3,5.21,-45.75,1.5,2.3
"Anthony Richardson","FWN",29,39,1121,0.92,50,2.91,4.98,-45.98,4.6,0.8
"Anthony Stover","LAD",23,25,371,-3.42,50,2.91,3.69,-47.28,5.3,-5.9
"Anthony Vereen","TUL",27,3,33,-2.05,24.55,-22.54,1.29,-49.67,2.7,8.2
"Antoine Agudio","CTN",28,50,1558,-3.35,48.9,1.81,4.51,-46.45,1,3.3
"Antoine Wright","RNO",29,19,573,-0.79,47.6,0.52,5.78,-45.19,2.6,-3.1
"Arinze Onuaku","CTN",25,38,901,1.1,56.25,9.16,3.27,-47.69,3.2,0.4
"Arnett Moultrie","SXF",22,7,184,-3.28,46.78,-0.31,5.73,-45.23,1.9,-4.8
"Aron Baynes","AUS",26,4,106,-0.99,58.72,11.63,5.87,-45.1,2.8,-4.7
"Aron Baynes","AUS",26,7,190,-2.12,48.45,1.36,3.74,-47.23,2.9,-3.9
"Aubrey Coleman","RNO",25,14,372,-1.13,50.32,3.23,4.2,-46.77,2.5,3.7
"Augustus Gilchrist","IWA",23,23,316,-0.59,51.69,4.61,2.88,-48.08,2.8,3.1
"Ben Strong","IWA",26,46,963,-1.8,47.84,0.76,3.76,-47.2,3,-6.3
"Ben Uzoh","SPG",25,50,1670,-3,42.43,-4.66,4.5,-46.46,2.4,-4.9
"Bernard Toombs","FWN",25,2,11,-2.14,40.1,-6.98,40.1,-10.86,0,-53.8
"Brady Morningstar","CTN",27,27,409,-3.95,45.58,-1.51,9.94,-41.02,2.5,-2.9
"Brandon Bowdry","ERI",25,10,44,-3.45,32.99,-14.1,2.18,-48.78,0,3.2
"Brandon Brooks","TUL",26,4,28,-3.14,14.4,-32.69,2.94,-48.02,0,1.8
"Brandon Wallace","FWN",28,44,1058,0.42,49.64,2.55,4.96,-46,4.1,8.1
"Brian Butch","BAK",28,47,1387,2.37,51.5,4.41,4.91,-46.06,3.1,5.1
"Brian Cusworth","MNE",29,3,11,-1.86,NA,NA,NA,NA,4.8,0
"Bryant Austin","FWN",113,10,38,-2.47,28.49,-18.6,2.18,-48.79,1.3,-24.4
"Bryant Voiles","SXF",24,30,334,-1.92,43.75,-3.34,5.42,-45.54,2.7,4.7
"Cam Tatum","BAK",24,8,147,-0.21,41.94,-5.15,5.49,-45.47,5.6,5.2
"Cameron Jones","SCW",24,50,1351,-0.51,50.28,3.19,4.85,-46.11,2.3,3
"Carleton Scott","SPG",24,48,1410,3.2,50.3,3.22,6.81,-44.16,3.9,0.9
"Casey Mitchell","SXF",25,6,60,-2.24,42.98,-4.11,5.57,-45.39,3.9,-10.1
"Chace Stanback","ERI",113,12,196,-1.17,49.43,2.34,14.63,-36.33,2.4,-1.2
