"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,31,679,1.43,55.26,6.75,4.29,-48.31,2.2,11.1
NA,NA,NA,38,25,-1.96,46.08,-2.43,3.44,-49.16,3.5,-2
NA,NA,NA,19,1171,2.77,62.61,14.09,3.36,-49.23,1.6,2.5
NA,NA,NA,36,78,-1.71,49.22,0.71,2.27,-50.32,3.5,5.3
NA,NA,NA,8,830,-5.55,64.52,16,2.53,-50.06,4.3,3.7
NA,NA,NA,2,918,-5.19,61.11,12.6,60.78,8.19,1.7,-16.9
"Abdulai Jalloh","SPG",24,41,825,2.87,49.45,0.93,2.97,-49.63,4.1,-7.7
"Adam Harrington","SPG",29,7,213,-9.06,35.93,-12.59,4.51,-48.09,0.2,-17
"Akeem Wright","BAK",25,2,28,-3.03,18.28,-30.24,1.25,-51.34,0,-27.1
"Alade Aminu","BAK",22,46,1270,0.53,51.85,3.34,3.33,-49.27,3.3,-5.7
"Alexander Johnson","SXF",27,22,713,4,57.38,8.86,2.12,-50.47,3,7.2
"Alexis Ajinca","MNE",22,22,572,1.22,54.64,6.13,2.78,-49.82,6.8,4.3
"Alonzo Gee","AUS",23,36,1377,-0.33,53.95,5.43,3,-49.6,2.6,4.5
"Amara Sy","BAK",28,16,553,-0.79,56.05,7.54,4.03,-48.56,2.3,1.7
"Andre Barrett","IDA",28,26,988,0.25,54.05,5.54,5.17,-47.43,1.3,-0.3
"Andre Ingram","UTA",24,49,1668,1.43,55.24,6.73,5.47,-47.12,2.4,1.2
"Andres Sandoval","FWN",26,2,34,-2,23.04,-25.47,1.22,-51.37,5,-5
"Anthony Danridge","ABQ",24,41,669,-2.13,57.24,8.72,4.75,-47.85,1.5,-8.5
"Anthony Goods","BAK",23,9,151,-4.34,25,-23.51,4.94,-47.65,1.7,-18.8
"Anthony Kent","FWN",27,45,1002,-4.33,46.28,-2.23,4.13,-48.46,3.4,1.6
"Anthony Terrell","MNE",28,31,399,-3.49,52,3.49,3.4,-49.2,2.5,-4.3
"Anthony Tolliver","IDA",25,14,525,3.56,55.61,7.1,4.06,-48.53,3.1,8.7
"Antoine Agudio","ABQ",25,50,1611,-0.12,54.86,6.34,4.38,-48.22,1.5,-2.1
"Antonio Anderson","RGV",25,40,1578,-0.54,50.32,1.8,3.65,-48.95,2.3,6
"Atila Dos Santos","BAK",26,20,312,-5.4,43.69,-4.83,2.65,-49.95,3.2,-8.4
"Augustine Okosun","AUS",23,14,79,-2.81,46.91,-1.6,4.8,-47.8,5,13.8
"Bennet Davis","UTA",26,50,1408,0.27,48.83,0.32,3.06,-49.53,2.7,0.5
"Billy Thomas","MNE",34,39,1059,-1.35,51.18,2.67,7.25,-45.35,1.9,2
"Blake Ahearn","ERI",26,30,1144,0.44,49.15,0.64,3.52,-49.07,1.7,1.5
"Brandon Cotton","FWN",25,2,40,-1.86,33.33,-15.18,3.82,-48.78,4.1,24.3
"Brayden Billbe","SPG",25,6,75,-2.43,56.7,8.19,3.26,-49.33,0.7,-11
"Brian Butch","BAK",25,39,1324,4.41,54.66,6.15,4.3,-48.3,2.7,5.7
"Brian Evans","IWA",28,2,14,-2.27,0,-48.51,0,-52.6,0,-40.6
"Brian Jackson","UTA",29,5,46,-2.41,22.45,-26.07,1.54,-51.06,4.4,-1.1
"Brian Laing","RNO",24,2,36,-1.48,63.16,14.64,3.29,-49.31,2.4,-32.5
"Brock Gillespie","MNE",28,5,38,-2.74,41.89,-6.62,1.93,-50.67,0,-38.3
"Bryson McKenzie","IDA",26,50,676,-1.47,56.1,7.58,4.03,-48.56,6.2,-4.1
"Byron Eaton","TUL",23,2,19,-3.33,14.13,-34.38,14.4,-38.19,0,-47.4
"Byron Mullens","TUL",21,27,851,-4.25,46.93,-1.58,4.16,-48.44,2.5,-5.6
"Carldell Johnson","AUS",27,50,938,1.29,53.17,4.65,6.88,-45.71,2.3,4
"Carlos English","FWN",25,9,181,-0.82,38.18,-10.33,3.2,-49.4,2.8,2.2
"Carlos Powell","ABQ",26,33,1286,3.34,52.07,3.56,2.74,-49.86,2.9,-0.4
"Carlos Wheeler","UTA",32,43,1272,-0.86,51.85,3.34,3.41,-49.19,2.7,-0.6
"Cecil Brown","TUL",26,30,912,0.15,55.85,7.33,4.69,-47.9,1.3,3.3
"Cedric Jackson","ERI",24,34,1142,4.48,46.15,-2.36,2.46,-50.14,3.6,0.5
"Cedric Simmons","IDA",24,13,406,1.31,50.85,2.33,2.7,-49.9,5.6,2.1
"Cezary Trybanski","RNO",30,47,769,4.57,65.79,17.27,2.49,-50.11,6.4,3.3
"Chad Toppert","ABQ",24,50,1408,1.06,59.51,10.99,6.35,-46.24,1.3,-2.7
"Charlie Parker","LAD",24,3,42,-2.36,44.44,-4.07,44.44,-8.15,1.2,3.6
"Cheyne Gadson","DAK",29,18,371,-3.53,48.68,0.17,4.77,-47.82,1.8,-0.8
"Chris Ayer","SPG",26,16,217,-3.64,46.24,-2.27,4.16,-48.43,2.8,-26
"Chris Davis","RNO",24,38,416,-2.22,46.25,-2.26,5.16,-47.43,2.7,-0.5
"Chris Lowe","MNE",22,19,283,-2.9,39.13,-9.38,4.3,-48.29,2.3,-10.8
"Chris McCray","SXF",26,38,1067,0.92,44.4,-4.11,3.93,-48.67,3,2.1
"Chris Richard","TUL",25,12,349,-1.63,57.14,8.63,4.41,-48.19,3.7,-3.7
"Christopher Hayes","LAD",23,3,53,-2.77,50.32,1.81,3.58,-49.01,2,1
"Cliff Clinkscales","ERI",26,39,815,-1.72,43.02,-5.49,5.48,-47.12,1.6,-6.3
"Coby Karl","IDA",27,26,1007,1.47,49.71,1.19,3.02,-49.58,2,-0.8
"Connor Atchley","IWA",25,41,664,-3.43,50.94,2.43,4.49,-48.11,3.7,0
"Corey Minnifield","SPG",28,15,327,-6.6,39.43,-9.08,3.84,-48.75,0.7,-14.7
"Corsley Edwards","DAK",31,9,217,-3.49,44.86,-3.65,3.45,-49.14,3,0.5
"Cory Underwood","DAK",30,21,407,-2.4,47.95,-0.56,4.15,-48.44,2,-5.4
"Courtney Sims","IWA",26,14,277,2.25,51.02,2.5,2.38,-50.21,3.3,1.7
"Craig Austrie","SPG",23,5,95,-2.73,44.44,-4.07,6.33,-46.26,0.5,-28
"Craig Winder","RGV",26,29,651,3.79,54.91,6.39,3.55,-49.04,3.5,5.2
"Curtis Jerrells","AUS",23,50,2013,1.86,51.55,3.04,3.68,-48.92,2.6,4.3
"Curtis Stinson","IWA",27,50,2118,0.66,47.4,-1.11,4.73,-47.86,2.8,7.7
"Curtis Withers","DAK",25,50,1228,-0.65,49.39,0.88,2.65,-49.94,4,6.3
"D'Lancy Carter","DAK",22,2,13,-2.3,50,1.49,50,-2.6,0,-7.7
"DJ Strawberry","RNO",25,26,724,2.59,50,1.49,4.09,-48.5,3.1,7.4
"DJ White","TUL",23,10,392,2.13,60.77,12.26,5.44,-47.15,2.7,9.6
"Dan Dickau","FWN",31,13,439,-1.35,49.47,0.96,6.55,-46.05,1.8,-5.4
"Danny Green","ERI",23,2,71,-0.73,50,1.49,4.17,-48.43,6.7,5.4
"Dante Milligan","SPG",26,42,1071,-2.8,48.51,-0.01,3.7,-48.9,4.4,-10.4
"Dar Tucker","LAD",22,46,979,-1.34,44.75,-3.77,3.76,-48.83,2.6,-5.4
"Darian Townes","IWA",25,14,105,-2.6,32.14,-16.37,1.92,-50.67,7.1,-11.9
"Darnell Jackson","ERI",24,2,83,0.25,65.22,16.7,3.74,-48.85,4.7,11.8
"Darnell Lazare","MNE",25,50,1364,-2.91,46.59,-1.92,5.1,-47.5,2.2,3.7
"Darren Cooper","DAK",26,49,1129,-2.46,48.26,-0.25,3.48,-49.11,2,1.1
"Daryl Dorsey","RNO",28,21,401,-5.82,47.1,-1.42,4.85,-47.74,1.5,4.3
"Dave Noel","RNO",24,26,383,-2.77,50.8,2.29,3.18,-49.42,1.4,-4.7
"David Bailey","SXF",29,48,1666,-1.34,46.03,-2.49,3.64,-48.96,1.9,-1.2
"David Bell","DAK",29,48,1368,-0.35,50,1.49,4.21,-48.39,1.9,0.8
"David McClure","AUS",24,40,551,-4.2,43.18,-5.33,6.66,-45.94,2.4,0.8
"David Noel","RNO",26,1,23,-1.99,49.65,1.14,50,-2.6,2,-12.2
"DeVon Hardin","TUL",23,36,736,-2.89,49.15,0.64,3.08,-49.51,3.4,-3.6
"DeWitt Scott","FWN",25,33,547,-1.44,57.84,9.32,15.28,-37.31,1.1,-5.8
"Deron Washington","TUL",24,49,1279,-1.94,44.41,-4.1,2.63,-49.97,2.8,1.9
"Desmon Farmer","RNO",28,49,1865,1.72,52.53,4.02,3.69,-48.91,1.4,4.6
"Diamon Simpson","LAD",22,30,954,3.75,44.23,-4.28,3.08,-49.51,5,1
"Dominique Coleman","AUS",25,19,281,-2.65,41.27,-7.24,4.6,-47.99,3.7,-9.6
"Donell Taylor","IDA",27,48,1706,0.22,51.67,3.16,5.29,-47.31,2.6,-1.1
"Dontell Jefferson","UTA",26,34,1215,0.83,46.13,-2.38,2.67,-49.93,2.4,1.9
"Doug Thomas","RNO",26,48,1310,-0.69,52.24,3.72,3.66,-48.93,2.5,0
"Dwayne Jones","AUS",27,48,1921,3.89,59.5,10.99,2.14,-50.45,3.3,3.1
