"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"A.J. Davis","DEL",24,2,30,-2.43,50,-1.02,1.67,-52.6,0,-19
"A.J. Hess","WIS",25,17,437,-3.25,48.31,-2.72,9.13,-45.14,1.7,-1.8
"AJ Mosby","ERI",23,19,302,-0.45,51.69,0.67,12.65,-41.63,2.8,-4.2
"Aaron Epps","NAS",23,49,1168,1.62,58.84,7.82,14.74,-39.53,2.7,-3.6
"Abdel Nader","OKL",25,3,89,-0.08,55.41,4.39,3.92,-50.36,2.5,18.7
"Abdul Gaddy","OKL",27,49,1432,0.54,61.57,10.55,5.22,-49.05,1.5,5.2
"Adam Woodbury","GRD",25,38,692,0.49,54.55,3.52,4.46,-49.81,2.4,2.9
"Akeem Springs","SLC",25,13,202,-3.33,42.18,-8.84,10,-44.27,1.4,-19.1
"Alan Williams","LIN",26,41,1106,3.65,49.4,-1.63,3.74,-50.53,2.4,11.3
"Alen Smailagic","SCW",18,47,818,1.18,52.76,1.74,3.54,-50.73,4.7,5.8
"Alex Caruso","SBL",25,27,770,1.85,45.88,-5.14,3.48,-50.79,4.4,0.8
"Alex Poythress","ERI",25,18,627,1.21,54.56,3.54,6.88,-47.39,3.3,-6.5
"Alize Johnson","FWN",23,31,1136,2.8,54.52,3.5,6.3,-47.97,1.9,0.8
"Amida Brimah","AUS",25,47,1096,0.11,62.3,11.27,2.37,-51.9,6.6,-5.5
"Amile Jefferson","LAK",26,34,1129,4.25,58.6,7.58,4.58,-49.69,2.1,4.6
"Amir Johnson","DEL",32,2,51,-2.46,68.03,17.01,7.25,-47.02,2,5.8
"Amjyot Singh","WIS",27,13,127,-4.07,33.88,-17.14,33.88,-20.39,1.1,-13.9
"Andre Ingram","SBL",33,37,903,-1.33,50,-1.02,6.91,-47.37,1.5,-4.7
"Andre Spight","WIS",24,9,144,-2.99,39.26,-11.76,39.67,-14.6,1.3,-14.4
"Andrew White III","MNE",26,50,1535,-1.43,54.01,2.99,7.33,-46.94,1.2,-6.4
"Anfernee Simons","ACC",20,4,91,-2.88,51.77,0.75,8.46,-45.81,1.5,-8.3
"Angel Delgado","ACC",24,44,1471,4.42,62.3,11.28,5.04,-49.24,2.6,1.2
"Angel Rodriguez","RGV",26,10,262,1.65,45.58,-5.44,4.13,-50.14,3.4,6
"Anthony Bennett","ACC",26,25,523,6.36,67.88,16.86,5.44,-48.83,2.7,-2.1
"Anthony Brown","LAK",26,27,783,-1.25,48.45,-2.57,6.53,-47.74,2.4,3.8
"Anthony Roberson","OKL",24,11,103,-3.69,27,-24.02,27.5,-26.77,2.3,-21.4
"Anthony Walker","STO",25,37,503,-0.68,61.34,10.32,3.64,-50.64,5.5,-4.9
"Antonio Blakeney","WCB",22,2,71,-2.25,43.6,-7.42,6.24,-48.03,0.7,6.6
"Antonio Campbell","LAK",24,43,772,2.23,57.37,6.34,8.78,-45.49,2.7,2.1
"Antonius Cleveland","SCW",25,42,1115,2.28,50.93,-0.1,4.75,-49.52,4.1,2.7
"Archie Goodwin","MNE",24,29,857,1.72,49.3,-1.72,3.29,-50.98,3,-3.3
"Asauhn Dixon-Tatum","TEX",28,10,179,-1.35,61.32,10.3,4.53,-49.75,4.1,-1
"Austin Chatman","SXF",26,14,147,-3.28,46.67,-4.35,11.86,-42.41,1.5,-9
"BJ Johnson","LAK",23,39,1162,2.61,56.25,5.23,5.55,-48.72,3.2,1
"Ben Moore","AUS",24,47,1366,3.74,57.91,6.89,3.55,-50.72,3.2,0.2
"Billy Garrett","WES",24,48,1434,-0.12,51.49,0.46,4.68,-49.59,1.4,5.7
"Billy Preston","TEX",21,27,476,-2.24,45.03,-5.99,4.28,-49.99,1.9,-5.3
"Bonzie Colson","WIS",23,46,1418,1.14,51.32,0.29,5.82,-48.45,2.9,-2.6
"Brad Wanamaker","MNE",29,2,55,-1.43,53.09,2.07,4.56,-49.71,1.7,-5
"Braian Angola-Rodas","LAK",25,38,924,4.9,50.66,-0.36,4.58,-49.7,4,3.8
"Brandon Fields","ACC",30,49,1354,-1.44,49.03,-2,7.53,-46.74,1.8,-2.9
"Brandon Goodwin","IWA",23,26,959,3.25,55.09,4.07,5.67,-48.6,1.9,4.4
"Brandon Knight","RGV",27,2,46,-2.12,55.83,4.81,21.25,-33.02,1.1,8.7
"Brandon McCoy","WIS",21,41,572,-3.18,47.64,-3.38,4,-50.27,3.2,-14.4
"Brandon Sampson","WCB",22,37,1247,-1.23,54.49,3.47,5.19,-49.08,1.3,-0.1
"Briante Weber","SXF",26,33,1037,5.34,55.45,4.43,5.49,-48.79,4.8,4.3
"Bruce Brown","GRD",22,2,66,-2.03,37.61,-13.41,3.01,-51.26,3.7,0
"Bruno Caboclo","RGV",23,28,794,7.68,61.9,10.88,6.13,-48.14,7.3,11.5
"Bryce Alford","OKL",24,50,1532,1.17,52.08,1.06,5.1,-49.17,1.6,6.1
"Buay Tuach","WES",24,13,166,-1.91,52.75,1.73,13.94,-40.33,2.5,-8.8
"Bubu Palo","SXF",27,40,1258,-0.48,50.43,-0.59,2.34,-51.93,1,4.7
"Byron Mullens","LAK",30,6,119,-1.73,46.33,-4.69,5.81,-48.46,4.4,-25.8
"C.J. Anderson","SXF",23,39,521,-4.8,42.17,-8.85,3.95,-50.32,1.1,3
"C.J. Williams","IWA",29,36,1061,-0.33,51.01,-0.01,9.39,-44.88,2.3,5.6
"CJ Fair","WCB",27,46,1412,4.04,53.5,2.48,3.74,-50.53,3.7,-0.8
"CJ Leslie","TEX",28,10,189,-2.88,37.5,-13.52,3.37,-50.9,3.4,-6.7
"Caleb Swanigan","STO",22,12,325,-2.82,47.57,-3.45,3.95,-50.33,2.5,0.8
"Cameron Oliver","DEL",22,26,692,6.42,61.52,10.5,4.54,-49.73,5.7,-0.8
"Cameron Reynolds","STO",24,33,923,2.25,57.45,6.43,8.83,-45.44,1.9,-1.4
"Cameron Rundles","AUS",31,21,247,-5.61,44.08,-6.94,3.61,-50.66,1.3,-8.8
"Canyon Barry","IWA",25,42,1142,-0.12,56.1,5.08,4.59,-49.68,1.7,-1.2
"Cat Barber","ERI",24,41,1091,-0.93,46.5,-4.53,3.48,-50.79,1.8,-3.5
"Chance Comanche","CTN",23,27,372,-1.01,43.86,-7.16,2.31,-51.96,3.2,-4.2
"Charles Cooke","SXF",24,40,1263,-0.31,52.15,1.13,4.81,-49.46,2.3,-1.8
"Chasson Randle","CAP",26,8,279,3.64,61.47,10.45,6.37,-47.9,2.5,2.6
"Chimezie Metu","AUS",22,26,710,-2.04,49.75,-1.27,4.1,-50.17,3.4,-6.9
"Chinanu Onuaku","GBO",22,44,1273,3.23,52.03,1.01,3.76,-50.51,4.8,2.9
"Chris Boucher","RAP",26,28,958,10.81,56.94,5.92,3.97,-50.31,7.1,11.1
"Chris Chiozza","CAP",23,47,1574,2.91,51.61,0.59,6.36,-47.91,2.9,0.4
"Chris McCullough","RGV",24,7,84,-1.67,49.31,-1.71,5.27,-49,4.8,-4.8
"Chris Walker","RGV",24,49,868,1.63,58.59,7.57,3.01,-51.26,4.6,-2.8
"Chris Wright","OKL",30,38,729,4.65,60.71,9.69,4.36,-49.91,5.2,-1.1
"Christian Watford","RAP",28,48,903,-0.94,47.9,-3.12,7.38,-46.89,1.9,-6.5
"Christian Wood","WIS",23,28,988,9.19,58.33,7.31,3.43,-50.85,4.1,-4.1
"Cinmeon Bowers","WIS",26,8,135,-1.53,37.56,-13.46,5.28,-49,3.3,-11.5
"Codi Miller-McIntyre","TEX",25,8,292,-0.66,41.95,-9.07,3.46,-50.81,2.5,-4.9
"Cody Demps","STO",25,50,1535,-0.83,48.92,-2.1,3.78,-50.49,2.1,2.5
"Connor Burchfield","SXF",24,13,117,-3.2,40.43,-10.59,5.47,-48.8,1.1,-17
"Corey Henderson","AUS",23,5,96,-3.93,30.99,-20.04,3.11,-51.16,0.9,-8.3
"Cory Jefferson","DEL",28,22,528,-2,49.66,-1.36,4.2,-50.07,1.7,-2.7
"Courtney Lee","WES",33,1,32,-2.44,35.53,-15.49,12.61,-41.66,1.4,-10.1
"Craig Sword","ERI",25,49,1160,2.76,55.86,4.84,4.26,-50.01,5,-0.1
"D.J. Hogg","DEL",22,43,1048,1.14,54.46,3.44,10.31,-43.96,3.5,-2.9
"D.J. Wilson","WIS",23,6,139,0.81,63.95,12.93,9.11,-45.16,3.5,-8.2
"DJ Stephens","MHU",28,10,229,-0.05,54.55,3.52,5.66,-48.62,1.8,18.3
"Dakarai Allen","GRD",24,39,751,-1.81,52.65,1.63,6.65,-47.62,3.1,4.2
"Dakarai Tucker","RGV",25,49,1262,-1.09,56.61,5.59,12.11,-42.16,1.7,-0.4
"Dallas Lauderdale","MNE",30,29,536,-0.41,73.61,22.59,5.14,-49.13,3.9,-10
"Damion Lee","SCW",26,24,756,4.14,54.09,3.07,4.22,-50.05,2.1,5.6
"Daniel Dixon","NAS",25,29,726,-3.38,47.5,-3.52,5.85,-48.42,1.7,-10.3
"Daniel Hamilton","RGV",23,5,147,-1.05,50.72,-0.3,9.95,-44.32,1.5,9.6
"Daniel Ochefu","STO",25,39,945,6.05,59.95,8.93,4.25,-50.02,4.2,3.5
"Danuel House Jr.","RGV",26,18,605,2.89,51.43,0.41,3.85,-50.42,2.7,5.3
"Darel Poirier","CAP",22,40,805,-2.6,52.99,1.97,4.54,-49.73,3,-6.9
"Darius Johnson-Odom","IWA",29,46,1597,3.68,55.71,4.69,4.07,-50.2,2.6,-3.2
"Darius Morris","SCW",28,34,999,-4,45.74,-5.28,4.66,-49.62,1.2,2.7
"Daryl Macon","TEX",23,41,1413,0.74,47.79,-3.23,3.65,-50.62,1.6,-7.9
"Davon Reed","FWN",24,34,1174,-1.04,46.63,-4.39,5.83,-48.44,2.6,1
"Daxter Miles Jr.","NAS",24,49,1263,-0.79,48.27,-2.76,5.98,-48.29,2.5,-8.5
"De'Anthony Melton","NAS",21,6,213,-1.27,45.94,-5.08,5.62,-48.65,3.1,-0.2
"DeAndre Daniels","TEX",27,8,141,-1.47,43.29,-7.73,5.46,-48.81,3.7,-14.6
"DeAndre Liggins","SXF",31,25,790,0.29,54.69,3.67,5.63,-48.64,2.6,5.9
"DeJuan Blair","AUS",30,23,315,3.35,49.33,-1.69,2.86,-51.41,4.1,-5.5
"DeVaughn Akoon-Purcell","DEL",26,2,58,-0.66,54.56,3.54,3.14,-51.13,3.9,25.2
"Demarcus Holland","ACC",25,38,788,-2.74,47.67,-3.35,6.8,-47.47,2.3,-5.1
"Demetre Rivers","MNE",23,2,14,-2.57,20,-31.02,20,-34.27,0,-40.7
"Demetri McCamey","AUS",30,25,394,-3.23,46.55,-4.47,14.39,-39.88,1.7,-2.4
"Demetrius Denzel-Dyson","FWN",24,43,763,-2.09,52.01,0.99,6.66,-47.61,1.6,-3.1
"Demetrius Jackson","DEL",24,8,280,-0.18,50.99,-0.03,5.04,-49.23,1.8,-6.1
"Deng Adel","CTN",22,37,1156,-2.26,47.59,-3.43,5.02,-49.25,1.7,2.9
"Deonte Burton","OKL",25,24,712,3.51,50,-1.02,3.78,-50.49,4.9,7.7
"Deonte Burton","SLC",27,41,853,-3.17,42.37,-8.65,3.27,-51.01,2.2,-0.1
"Derek Cooke Jr.","RAP",27,45,1116,2.66,50,-1.02,4.7,-49.57,4.4,2.4
"Derrick Griffin","SBL",25,25,264,1.32,61.76,10.74,4.82,-49.45,2.5,-11.9
"Desi Rodriguez","ACC",23,49,1366,-1.31,46.84,-4.19,4.97,-49.31,2.8,0.9
"Devin Davis","LAK",24,41,711,0.87,53.15,2.13,6.92,-47.35,2.8,8.9
"Devin Robinson","CAP",24,22,749,2.1,58.68,7.66,4.52,-49.75,2.5,5.6
"Devin Sweetney","CAP",31,17,173,-2.94,45.06,-5.96,9.35,-44.92,2.4,-6.4
"Devon Baulkman","WES",27,39,814,-2,47.2,-3.82,9.6,-44.68,2.9,3.2
"Devon Bookert","AUS",26,12,195,-1.91,49.03,-1.99,48.54,-5.73,2.1,-12.4
"Devon Hall","OKL",23,10,211,-1.71,51.71,0.69,14.67,-39.6,1.3,4.1
"Devonte' Graham","GBO",24,13,441,3.93,54.08,3.06,5.41,-48.86,2.1,4.1
"Deyonta Davis","SCW",22,43,1007,3.2,59.12,8.1,15.4,-38.87,4.5,2.8
"Dez Wells","OKL",27,40,980,0.38,50.82,-0.21,3.5,-50.77,2.8,7.8
"Diamond Stone","RGV",22,33,467,2.05,55.98,4.95,7.91,-46.37,3.9,-1.4
"Dikembe Dixson","CAP",22,12,113,-0.91,62.05,11.03,4.47,-49.8,2.4,-10.1
"Donte DiVincenzo","WIS",22,4,112,-2.87,50,-1.02,5.27,-49,3.4,-5.6
"Donte Grantham","OKL",24,33,902,1.97,51.24,0.22,7.56,-46.71,2.3,4.9
"Donte Ingram","TEX",22,42,642,-3,46.46,-4.56,7.68,-46.59,1.6,-7.8
"Doral Moore","MHU",22,50,983,2.07,63.57,12.55,4.23,-50.04,5,4.2
"Drew Eubanks","AUS",22,32,800,6.33,64.92,13.9,4.81,-49.46,5.3,-4.9
"Drew Gordon","LIN",28,35,564,1.31,50.93,-0.09,3.77,-50.5,2.2,-0.2
"Duane Notice","RAP",24,47,1405,-1.63,51.15,0.12,5.47,-48.8,1.6,0.1
"Duje Dukan","CAP",27,31,584,0.95,53.38,2.36,3.53,-50.75,1.7,0.2
"Duke Mondy","SXF",28,14,307,-0.37,45.58,-5.44,7.83,-46.44,3.7,-15.6
"Duncan Robinson","SXF",25,33,1218,4.23,68.08,17.06,9.33,-44.94,1.4,3.8
"Dusty Hannahs","MHU",25,49,1254,-1.34,55.36,4.34,6.07,-48.2,1,2.7
"Dwayne Bacon","GBO",23,17,546,0.56,44.88,-6.14,4.64,-49.63,1.8,-0.9
"Dzanan Musa","LIN",20,36,1137,0.86,51.42,0.4,4.36,-49.91,1.8,4.2
"Edmond Sumner","FWN",23,26,816,1.56,52.88,1.86,4.61,-49.67,3.2,-4.3
"Elie Okobo","NAS",21,9,322,1.53,47.21,-3.81,4.85,-49.42,2.2,-6.1
"Elijah Brown","GRD",24,10,146,-3.75,39.44,-11.58,4.94,-49.33,1.6,-12.6
"Elijah Stewart","STO",23,31,339,-2.72,43.38,-7.64,6.75,-47.52,2.3,-3.9
"Emanuel Terry","SXF",22,39,982,2.19,56.76,5.74,3.48,-50.79,4.7,-9.9
"Eric Stuteville","NAS",24,50,1025,-2.73,55.56,4.53,3.42,-50.85,1.8,-13.4
