"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,35,0,-2,0.488372093023256,-0.00405109871441668,0.0243335778919051,-0.954384259124075,2.9,4.1
NA,NA,NA,21,0,-2,0.463855421686747,-0.0540485335179098,0.107723577235772,-0.798061312346123,2.6,-2.1
NA,NA,NA,46,789,-3,0.50314465408805,0.0260749387308795,0.0421788893598983,-0.920931426688572,2.5,-3.7
NA,NA,NA,6,1529,2,0.450934579439252,-0.0803983164475905,0.036698621929299,-0.931204739563295,4.4,-6.3
NA,NA,NA,36,253,0,0.50761421319797,0.035189817628235,0.0272979948381973,-0.948827161196636,2,7.6
NA,NA,NA,49,1321,1,0.536885245901639,0.0948829353906501,0.0367219917012448,-0.93116093057367,1.8,3.6
NA,NA,NA,49,271,2,0.532258064516129,0.0854466136130896,0.0278481012658228,-0.94779593133113,4.9,3.9
NA,NA,NA,1,1875,-8,NA,NA,NA,NA,0,0
NA,NA,NA,1,925,-8,NA,NA,NA,NA,0,0
"Aaron Brooks","RGV",23,2,76,-2,0.527450980392157,0.0756434118739816,0.0660377358490566,-0.876205617607698,0.7,8.5
"Abdoulaye N'Diaye","LAD",23,44,652,-3,0.605504587155963,0.234820000807551,0.0673166202414113,-0.873808220097514,4,-0.3
"Abdul Mills","ABQ",29,39,974,-1,0.453237410071942,-0.0757020988069047,0.0438189204875218,-0.917857023274555,2.5,0.8
"Adam Haluska","IOW",24,11,423,-2,0.470108695652174,-0.0412960822122858,0.0377792378449409,-0.929179016267967,1,1
"Adam Harrington","TUL",27,40,1325,0,0.512690355329949,0.0455417158045174,0.0497746825071692,-0.906692347935245,1.7,0.1
"Alando Tucker","ABQ",24,21,816,4,0.564453125,0.151102771231022,0.0517751479289941,-0.902942274159881,1.9,-2
"Aleksandar Ugrinoski","UTA",20,18,152,-5,0.341216216216216,-0.304149601305777,0.053763440860215,-0.899215018943287,1.5,-8.6
"Ali Berdiel","ABQ",108,24,678,0,0.458904109589041,-0.0641458628167758,0.0359832635983264,-0.932545750753842,3.2,-1.9
"Andre Barrett","AUS",26,43,1626,3,0.530054644808743,0.0809531270523467,0.0516339869281046,-0.903206894663573,2,-4.8
"Andre Ingram","UTA",22,50,746,0,0.591772151898734,0.206815116822992,0.102112676056338,-0.808579511331017,1.6,3.7
"Andre Patterson","DAK",25,2,22,-2,0.445,-0.0925008463762077,0.0324344023323615,-0.939198448381457,4.4,-4.4
"Anthony Fuqua","AUS",25,39,518,-4,0.614285714285714,0.252727563589825,0.0301494130202775,-0.943481890825774,2.7,1.7
"Anthony Kyle","FWN",28,26,339,0,0.504587155963303,0.0290166673396263,0.0498802873104549,-0.906494381102611,2.8,-6.1
"Anthony Tolliver","IOW",23,24,667,1,0.545751633986928,0.112964372880762,0.0413764850471118,-0.922435614333002,3.6,-1.4
"Anthony Washington","IDA",25,2,23,-2,0.427672955974843,-0.127836302078752,0.427672955974843,-0.19828399974509,4.5,4.5
"Anthony Wilkins","BAK",27,40,871,-4,0.478260869565217,-0.0246711587824412,0.0477356181150551,-0.910514779365313,1,-13.5
"Antywane Robinson","SIF",23,3,105,-1,0.580838323353294,0.184517498506464,0.0484193677470988,-0.90923302186225,3.1,-9.3
"Aristide Sawadogo","IOW",26,18,84,-1,0.73015873015873,0.489030178943979,0.0349583066067992,-0.934467135793977,4,9.2
"Billy Thomas","COL",32,37,1382,4,0.550898203592814,0.123459895490667,0.0581837955410549,-0.89092861919572,3.3,5.9
"Blake Ahearn","DAK",24,41,1208,3,0.596858638743455,0.217188111219628,0.0416781672646978,-0.92187008065253,1.2,1.1
"Bobby Jones","SIF",24,5,140,-3,0.46978021978022,-0.0419659509219135,0.0431174089068826,-0.919172077337958,2.7,1.4
"Brandon Bowman","BAK",23,18,665,0,0.525641025641026,0.071952327818366,0.0409165302782324,-0.923297845840636,3.2,-5.9
"Brandon Dean","COL",26,10,176,-3,0.556,0.133864111044559,0.0636734693877551,-0.880637673047282,2.3,12.2
"Brandon Wallace","LAD",23,31,936,1,0.453125,-0.0759313393577959,0.0455764075067024,-0.914562436970154,5.3,1
"Brent Petway","IDA",23,45,1087,0,0.561946902654867,0.145991772001806,0.0483234714003945,-0.909412789215889,4.7,4.5
"Brian Chase","LAD",26,36,1185,1,0.488038277511962,-0.00473185667838492,0.0497835497835498,-0.9066757253332,1.4,10.7
"Brian Greene","COL",26,22,581,-1,0.514705882352941,0.0496520283156882,0.0551431601272534,-0.896628596311715,2.7,4.4
"Brian Jackson","UTA",27,47,1388,-2,0.442622950819672,-0.0973484196779372,0.0269332452081956,-0.949510921089269,3,4.8
"Brian Morrison","LAD",25,22,278,-4,0.456937799043062,-0.0681558069880957,0.0744452397995705,-0.860444905256904,1.3,-5.9
"Brian Wethers","BAK",27,2,43,-2,0.446902654867257,-0.0886207167544693,0.0881435257410297,-0.834766089559283,1.2,4.8
"Britton Johnsen","UTA",28,8,232,-5,0.375,-0.235253522227141,0.0408607350096712,-0.923402439687217,2.2,-9.1
"Bryson McKenzie","ANA",24,7,37,-2,0.688622754491018,0.404324869363333,0.0976353928299008,-0.816972629367031,2.6,-10.3
