"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
"Marcus Cousin","AUS",24,46,1405,0.42,52,2.5,3.36,-50.62,2.5,-3.3
"Marcus Hubbard","NMX",27,42,1100,1.39,51.95,2.45,4.67,-49.31,3.9,-4.7
"Marcus Landry","RNO",25,49,1736,-0.43,50,0.5,4.91,-49.07,2.4,9.3
"Marcus Lewis","TUL",24,49,1188,-2.01,51.15,1.65,3.14,-50.84,2.3,2.6
"Mario West","MNE",27,42,1432,0.84,56.43,6.93,3.43,-50.55,3.4,-5.1
"Marquis Gilstrap","RGV",23,5,42,-2.59,50,0.5,6.03,-47.95,1.2,-4.8
"Marqus Blakely","IWA",22,49,1235,4.76,63.14,13.65,3.23,-50.75,4.2,2.4
"Marvin Phillips","FWN",27,50,1358,4.25,54.55,5.05,4.57,-49.41,4.2,-0.7
"Matt Bouldin","TUL",23,9,198,-1.49,41.38,-8.12,2.91,-51.07,3,-0.2
"Matt Janning","RGV",23,41,1108,-0.15,53.57,4.07,5.92,-48.06,2.6,-0.4
"Matt Rogers","TEX",30,49,883,-1.79,50,0.5,3.58,-50.4,4.3,-4
"Maureece Rice","SXF",27,21,530,-3.7,51.23,1.73,10.67,-43.31,1.4,-14.3
"Maurice Baker","DAK",31,25,703,-0.77,44.93,-4.57,4.22,-49.76,2,-2.3
"Michael Haynes","IWA",30,48,997,-0.89,52.6,3.11,4.78,-49.2,2,2.6
"Michael Joiner","AUS",29,48,784,-2.2,46.13,-3.37,5.34,-48.65,2.5,-3.7
"Mickell Gladness","DAK",24,36,519,-0.43,55.37,5.87,3.49,-50.49,5.9,4.7
"Mike Anderson","DAK",25,50,1440,0.61,51.95,2.45,3.61,-50.37,4,1.7
"Mike Davis","NMX",25,9,68,-2.84,33.33,-16.16,2.43,-51.55,4.9,-23.1
"Mike Gerrity","DAK",24,11,141,-3.91,25,-24.5,2.73,-51.25,2.7,-15
"Mike Hall","DAK",27,17,531,-0.61,46.1,-3.4,4.73,-49.25,2.1,-4.6
"Mike Taylor","IWA",25,13,336,0.12,52.94,3.44,5.4,-48.58,2.8,1.7
"Mo Charlo","RNO",27,47,1244,0.48,47.37,-2.13,3.05,-50.93,3.6,2.8
"Moses Ehambe","IWA",25,19,476,-0.22,56.85,7.35,6.03,-47.95,1.1,0
"Mouhammad Faye","RGV",25,47,1195,1.87,55.84,6.35,6.13,-47.85,3.4,6
