"player_name","team_abbreviation","age","gp","min","dre","efg","rel_efg","ts","rel_ts","stk","plus_minus"
NA,NA,NA,1,463,9.1,50.44,1.05,50,-2.96,7.6,39.6
NA,NA,NA,1,26,-1.68,50,0.61,50,-2.96,3.8,7.7
NA,NA,NA,17,633,0.18,49.15,-0.24,3.41,-49.55,2.8,4.8
NA,NA,NA,20,472,4,58.55,9.16,4.26,-48.7,3.9,7.6
NA,NA,NA,17,14,-1.58,56.53,7.14,3.76,-49.2,6.8,1.6
NA,NA,NA,2,51,-2.65,20.18,-29.21,19.74,-33.23,2.3,-25
NA,NA,NA,1,6,-1.84,74.55,25.16,74.85,21.89,0,16.7
NA,NA,NA,2,0,-2,33.57,-15.82,2.32,-50.64,0,-17.1
NA,NA,NA,1,18,-2.29,NA,NA,NA,NA,0,0
"A.J. Davis","SXF",27,49,802,-1.65,48.34,-1.04,4.29,-48.67,2.4,0.5
"AJ Ussery","WES",23,3,18,-2.57,33.33,-16.05,33.33,-19.63,7.5,-2.5
"Aaron Craft","SCW",24,50,1803,3.14,47,-2.39,3.82,-49.14,3.6,8.9
"Aaron Dotson","IDA",24,3,24,-2.33,16.81,-32.57,16.81,-36.15,5.7,-43.4
"Adonis Thomas","GRD",22,51,1838,-1.56,50,0.61,7.25,-45.71,1.4,-2.1
"Adrian Thomas","BAK",28,39,525,-1.51,54.17,4.78,54.17,1.2,1.2,-3.8
"Akeem Richmond","RGV",24,29,598,0.01,51.77,2.38,9.61,-43.36,1.1,-2.4
"Akil Mitchell","RGV",23,49,1339,0.92,61.16,11.77,3.86,-49.11,2.7,-5.4
"Alec Brown","BAK",22,17,314,-0.08,46.75,-2.63,5.5,-47.46,5.9,13
"Alex Kirk","CTN",23,41,1165,-1.7,49.48,0.09,5.26,-47.7,3.4,-0.9
"Alfred Aboya","LAD",30,35,592,-4.12,48.17,-1.22,3.64,-49.33,2.2,0.7
"Amadou Mbodji","IDA",29,28,316,-1.79,60.76,11.37,3.93,-49.03,2.6,-9.8
"Andre Barrett","WES",33,36,1107,-1.69,47.55,-1.83,5.86,-47.1,1.6,-6.8
"Andre Dawkins","SXF",23,37,1266,1.15,58.33,8.95,6.13,-46.83,1.4,2.2
"Andre Emmett","FWN",32,39,1307,4.44,56.88,7.49,4.87,-48.09,2.8,3.6
"Andre Ingram","LAD",29,28,715,2.79,58.61,9.22,6.96,-46,2.8,-2.9
"Andre Stringer","MNE",23,43,987,0.25,57.69,8.3,7.36,-45.61,1.8,3.6
"Andrew Warren","SCW",27,29,453,-2.86,40.35,-9.04,7.12,-45.84,2.6,-1.6
"Anthony Vereen","SCW",29,30,360,0.42,64.53,15.15,4.68,-48.29,0.6,8.9
"Antoine Agudio","CTN",30,49,1110,-1.58,56.12,6.73,5.72,-47.24,1.2,4.8
"Archie Goodwin","BAK",20,10,329,1.35,47.2,-2.19,2.81,-50.15,2.8,0.7
"Arinze Onuaku","CTN",27,41,1420,3.5,62.29,12.9,2.91,-50.06,2.6,3.3
"Armon Johnson","AUS",26,2,38,-2.72,0,-49.39,1.05,-51.91,0,5
"Asauhn Dixon-Tatum","MNE",24,31,467,-0.07,55.46,6.07,3.51,-49.45,5,-2.5
"Ater Majok","LAD",27,23,507,1.22,60.71,11.33,5.75,-47.21,7.2,-4.4
"Austin Daye","ERI",27,10,285,-1.51,45.14,-4.25,5.58,-47.39,3.3,-0.5
"Austin Witter","RNO",24,22,315,-0.24,53.85,4.46,9.61,-43.35,4.3,0.8
"Ben Hansbrough","GRD",27,7,157,-1.09,50,0.61,3.57,-49.4,3.6,-4.7
"Ben Strong","WES",28,50,1492,-0.68,50.96,1.57,5.69,-47.28,2.7,-9.1
"Bennie Lewis","FWN",28,3,27,-2.82,0,-49.39,0.82,-52.15,0,-30.4
"Bernard James","TEX",30,2,58,-1.1,49.67,0.29,4.04,-48.92,8.4,20.6
"Blake Ahearn","SCW",31,9,191,-1.54,50.92,1.53,5.01,-47.95,1.4,-5.8
"Booker Woodfox","TEX",28,47,953,0.39,52.16,2.77,7.31,-45.65,2.1,-4.5
"Brady Heslip","RNO",25,20,618,4.22,63.47,14.08,9.54,-43.42,1.4,5.7
"Brandon Fields","IDA",26,48,1358,-2.42,46.3,-3.09,3.98,-48.98,1.4,-4.2
"Brandon Paul","CTN",24,43,1131,4.19,56.13,6.74,4.19,-48.77,3.3,6.1
"Brandon Provost","ERI",25,15,317,-2.19,53.27,3.88,4.79,-48.17,2.1,2.1
"Brandon Young","TEX",23,19,354,1.3,43.64,-5.75,2.65,-50.31,3.5,-9
"Bruno Caboclo","FWN",19,7,62,-3.35,35.65,-13.74,10.31,-42.65,4.3,-11.5
"Bryce Cotton","AUS",22,34,1371,1.82,54.95,5.56,5,-47.97,1.7,6.5
"Bubu Palo","SXF",23,41,25,-2.11,42.04,-7.35,2.17,-50.79,1.7,2.5
"Bubu Palo","SXF",23,1,892,-15.66,42.77,-6.62,42.77,-10.2,0,-9.1
"Byron Mullens","SXF",26,11,257,0.93,49.57,0.18,4.67,-48.3,2.4,-6.5
"C.J. Wilcox","FWN",24,5,122,-0.72,61.83,12.44,7.43,-45.53,1.5,13.6
"CJ Fair","FWN",23,50,1381,0.38,50.25,0.86,4.46,-48.5,3.3,2.1
"Cameron Ayers","RNO",23,29,831,1.19,59.84,10.45,9.09,-43.88,1.4,0.2
"Cameron Moore","BAK",24,8,120,-2.18,38.46,-10.93,5.06,-47.9,3.4,-10.5
"Carrick Felix","SCW",24,5,128,-1.91,44.67,-4.71,6.17,-46.79,1.8,2.6
"Casey Prather","BAK",24,46,1162,-1.23,49.73,0.34,5,-47.96,2.9,0.7
"Chadrack Lufile","SXF",24,9,39,-2.08,46.41,-2.98,3.44,-49.52,2.4,-14.1
"Chane Behanan","RGV",22,13,121,-2.04,48.75,-0.64,3,-49.96,3.7,-11.6
"Charles Hinkle","IDA",27,14,207,-1.28,53.74,4.35,5.51,-47.45,1.4,-11.1
"Chaz Williams","DEL",115,6,97,-3.31,33.33,-16.05,5.9,-47.06,1.5,5.4
"Chris Allen","IWA",26,42,971,-3.55,47.97,-1.42,6.28,-46.69,1.1,-1.6
"Chris Babb","MNE",25,45,1562,2.71,54.07,4.68,5.33,-47.63,1.6,8.7
"Chris Crawford","CTN",22,49,1324,-0.59,46.99,-2.4,7.84,-45.12,2.2,0.9
"Chris Hines","IWA",25,3,6,-2.24,0,-49.39,0,-52.96,0,-53.8
"Chris Johnson","RGV",25,16,551,4.83,59.65,10.26,4.18,-48.78,3.2,0.7
"Chris Johnson","RGV",29,1,29,-1.92,79.33,29.94,2.85,-50.11,1.5,19.4
"Chris Porter","FWN",37,45,787,2.45,54.21,4.82,4.05,-48.91,4.2,7.8
"Chris Singleton","OKL",25,17,424,-2.69,40.77,-8.61,3.52,-49.44,4.2,5.2
"Chris Wright","BAK",25,14,420,0.6,49.66,0.27,3.12,-49.84,2.6,6.7
"Christian Watford","RNO",24,33,871,-1.43,45.03,-4.36,3.85,-49.12,2.3,-4.1
"Chukwudiebere Maduabum","FWN",24,4,68,-2.96,55.91,6.52,4.92,-48.04,4.8,-12.7
"Cleanthony Early","WES",24,3,123,-1.11,48.31,-1.08,5.35,-47.61,4,-4.1
